frankensim.matdb-source.v1
surface_a	90 wt% PTFE plus 10 wt% carbon fiber	coaxial hydraulic-piston sealing ring backed by an NBR O-ring of 70 Shore A hardness	source material label PTFE CF10; supplier lot resin fiber dimensions manufacture and surface finish unstated	1	piston-seal-sliding-surface-finish-unstated
validity	velocity-020-film-thickness	source_measured_voltage_drop	0.186	0.186	V
validity	velocity-020-film-thickness	source_o_ring_shore_a_scale_reading	70	70	1
validity	velocity-020-film-thickness	source_o_ring_initial_radial_deformation_fraction	0.15	0.15	1
validity	velocity-020-film-thickness	source_film_thickness_derived_by_resistive_method	1	1	1
validity	velocity-020-film-thickness	source_series_resistance	10000000	10000000	Ohm
validity	velocity-020-film-thickness	source_cylinder_material_steel	1	1	1
validity	velocity-020-film-thickness	source_cylinder_bore_grade_known	0	0	1
validity	velocity-020-film-thickness	source_cylinder_bore_coating_state_known	0	0	1
validity	velocity-020-film-thickness	source_cylinder_bore_measured_finish_known	0	0	1
validity	velocity-020-film-thickness	source_ptfe_cf10_supplier_lot_process_known	0	0	1
validity	velocity-020-film-thickness	source_oil_lot_and_formulation_known	0	0	1
validity	velocity-020-film-thickness	source_replicates_dispersion_confidence_known	0	0	1
scalar	velocity-050-film-thickness	table-2-velocity-sweep	fluid-film-thickness	0.0000108	m	constant
uncertainty	velocity-050-film-thickness	unstated	-	-	-	-
validity	velocity-050-film-thickness	working_pressure	10000000	10000000	Pa
validity	velocity-050-film-thickness	oil_temperature	333	333	K
validity	velocity-050-film-thickness	piston_speed	0.5	0.5	m/s
validity	velocity-050-film-thickness	source_measured_voltage_drop	0.143	0.143	V
validity	velocity-050-film-thickness	source_o_ring_shore_a_scale_reading	70	70	1
validity	velocity-050-film-thickness	source_o_ring_initial_radial_deformation_fraction	0.15	0.15	1
validity	velocity-050-film-thickness	source_film_thickness_derived_by_resistive_method	1	1	1
validity	velocity-050-film-thickness	source_series_resistance	10000000	10000000	Ohm
validity	velocity-050-film-thickness	source_cylinder_material_steel	1	1	1
validity	velocity-050-film-thickness	source_cylinder_bore_grade_known	0	0	1
validity	velocity-050-film-thickness	source_cylinder_bore_coating_state_known	0	0	1
validity	velocity-050-film-thickness	source_cylinder_bore_measured_finish_known	0	0	1
validity	velocity-050-film-thickness	source_ptfe_cf10_supplier_lot_process_known	0	0	1
validity	velocity-050-film-thickness	source_oil_lot_and_formulation_known	0	0	1
validity	velocity-050-film-thickness	source_replicates_dispersion_confidence_known	0	0	1
scalar	pressure-50-film-thickness	table-2-pressure-sweep	fluid-film-thickness	0.0000089	m	constant
uncertainty	pressure-50-film-thickness	unstated	-	-	-	-
validity	pressure-50-film-thickness	working_pressure	5000000	5000000	Pa
validity	pressure-50-film-thickness	oil_temperature	333	333	K
validity	pressure-50-film-thickness	piston_speed	0.2	0.2	m/s
validity	pressure-50-film-thickness	source_measured_voltage_drop	0.173	0.173	V
validity	pressure-50-film-thickness	source_o_ring_shore_a_scale_reading	70	70	1
validity	pressure-50-film-thickness	source_o_ring_initial_radial_deformation_fraction	0.15	0.15	1
validity	pressure-50-film-thickness	source_film_thickness_derived_by_resistive_method	1	1	1
validity	pressure-50-film-thickness	source_series_resistance	10000000	10000000	Ohm
validity	pressure-50-film-thickness	source_cylinder_material_steel	1	1	1
validity	pressure-50-film-thickness	source_cylinder_bore_grade_known	0	0	1
validity	pressure-50-film-thickness	source_cylinder_bore_coating_state_known	0	0	1
validity	pressure-50-film-thickness	source_cylinder_bore_measured_finish_known	0	0	1
validity	pressure-50-film-thickness	source_ptfe_cf10_supplier_lot_process_known	0	0	1
validity	pressure-50-film-thickness	source_oil_lot_and_formulation_known	0	0	1
validity	pressure-50-film-thickness	source_replicates_dispersion_confidence_known	0	0	1
scalar	pressure-100-film-thickness	table-2-pressure-sweep	fluid-film-thickness	0.0000083	m	constant
uncertainty	pressure-100-film-thickness	unstated	-	-	-	-
validity	pressure-100-film-thickness	working_pressure	10000000	10000000	Pa
validity	pressure-100-film-thickness	oil_temperature	333	333	K
validity	pressure-100-film-thickness	piston_speed	0.2	0.2	m/s
validity	pressure-100-film-thickness	source_measured_voltage_drop	0.186	0.186	V
validity	pressure-100-film-thickness	source_o_ring_shore_a_scale_reading	70	70	1
validity	pressure-100-film-thickness	source_o_ring_initial_radial_deformation_fraction	0.15	0.15	1
validity	pressure-100-film-thickness	source_film_thickness_derived_by_resistive_method	1	1	1
validity	pressure-100-film-thickness	source_series_resistance	10000000	10000000	Ohm
validity	pressure-100-film-thickness	source_cylinder_material_steel	1	1	1
validity	pressure-100-film-thickness	source_cylinder_bore_grade_known	0	0	1
validity	pressure-100-film-thickness	source_cylinder_bore_coating_state_known	0	0	1
validity	pressure-100-film-thickness	source_cylinder_bore_measured_finish_known	0	0	1
validity	pressure-100-film-thickness	source_ptfe_cf10_supplier_lot_process_known	0	0	1
validity	pressure-100-film-thickness	source_oil_lot_and_formulation_known	0	0	1
validity	pressure-100-film-thickness	source_replicates_dispersion_confidence_known	0	0	1
scalar	pressure-150-film-thickness	table-2-pressure-sweep	fluid-film-thickness	0.0000069	m	constant
uncertainty	pressure-150-film-thickness	unstated	-	-	-	-
validity	pressure-150-film-thickness	working_pressure	15000000	15000000	Pa
validity	pressure-150-film-thickness	oil_temperature	333	333	K
validity	pressure-150-film-thickness	piston_speed	0.2	0.2	m/s
validity	pressure-150-film-thickness	source_measured_voltage_drop	0.222	0.222	V
validity	pressure-150-film-thickness	source_o_ring_shore_a_scale_reading	70	70	1
validity	pressure-150-film-thickness	source_o_ring_initial_radial_deformation_fraction	0.15	0.15	1
validity	pressure-150-film-thickness	source_film_thickness_derived_by_resistive_method	1	1	1
validity	pressure-150-film-thickness	source_series_resistance	10000000	10000000	Ohm
validity	pressure-150-film-thickness	source_cylinder_material_steel	1	1	1
validity	pressure-150-film-thickness	source_cylinder_bore_grade_known	0	0	1
validity	pressure-150-film-thickness	source_cylinder_bore_coating_state_known	0	0	1
validity	pressure-150-film-thickness	source_cylinder_bore_measured_finish_known	0	0	1
validity	pressure-150-film-thickness	source_ptfe_cf10_supplier_lot_process_known	0	0	1
validity	pressure-150-film-thickness	source_oil_lot_and_formulation_known	0	0	1
validity	pressure-150-film-thickness	source_replicates_dispersion_confidence_known	0	0	1
scalar	pressure-200-film-thickness	table-2-pressure-sweep	fluid-film-thickness	0.0000025	m	constant
uncertainty	pressure-200-film-thickness	unstated	-	-	-	-
validity	pressure-200-film-thickness	working_pressure	20000000	20000000	Pa
validity	pressure-200-film-thickness	oil_temperature	333	333	K
validity	pressure-200-film-thickness	piston_speed	0.2	0.2	m/s
validity	pressure-200-film-thickness	source_measured_voltage_drop	0.591	0.591	V
validity	pressure-200-film-thickness	source_o_ring_shore_a_scale_reading	70	70	1
validity	pressure-200-film-thickness	source_o_ring_initial_radial_deformation_fraction	0.15	0.15	1
validity	pressure-200-film-thickness	source_film_thickness_derived_by_resistive_method	1	1	1
validity	pressure-200-film-thickness	source_series_resistance	10000000	10000000	Ohm
validity	pressure-200-film-thickness	source_cylinder_material_steel	1	1	1
validity	pressure-200-film-thickness	source_cylinder_bore_grade_known	0	0	1
validity	pressure-200-film-thickness	source_cylinder_bore_coating_state_known	0	0	1
validity	pressure-200-film-thickness	source_cylinder_bore_measured_finish_known	0	0	1
validity	pressure-200-film-thickness	source_ptfe_cf10_supplier_lot_process_known	0	0	1
validity	pressure-200-film-thickness	source_oil_lot_and_formulation_known	0	0	1
validity	pressure-200-film-thickness	source_replicates_dispersion_confidence_known	0	0	1
scalar	temperature-333-film-thickness	table-2-temperature-sweep	fluid-film-thickness	0.0000081	m	constant
uncertainty	temperature-333-film-thickness	unstated	-	-	-	-
validity	temperature-333-film-thickness	working_pressure	10000000	10000000	Pa
validity	temperature-333-film-thickness	oil_temperature	333	333	K
validity	temperature-333-film-thickness	piston_speed	0.2	0.2	m/s
validity	temperature-333-film-thickness	source_measured_voltage_drop	0.19	0.19	V
validity	temperature-333-film-thickness	source_o_ring_shore_a_scale_reading	70	70	1
validity	temperature-333-film-thickness	source_o_ring_initial_radial_deformation_fraction	0.15	0.15	1
validity	temperature-333-film-thickness	source_film_thickness_derived_by_resistive_method	1	1	1
validity	temperature-333-film-thickness	source_series_resistance	10000000	10000000	Ohm
validity	temperature-333-film-thickness	source_cylinder_material_steel	1	1	1
validity	temperature-333-film-thickness	source_cylinder_bore_grade_known	0	0	1
validity	temperature-333-film-thickness	source_cylinder_bore_coating_state_known	0	0	1
validity	temperature-333-film-thickness	source_cylinder_bore_measured_finish_known	0	0	1
validity	temperature-333-film-thickness	source_ptfe_cf10_supplier_lot_process_known	0	0	1
validity	temperature-333-film-thickness	source_oil_lot_and_formulation_known	0	0	1
validity	temperature-333-film-thickness	source_replicates_dispersion_confidence_known	0	0	1
