# fs-io-supplier-corpus-v1
# Every annotation is intentionally proposed pending identified human review.
case_id	relative_path	format	quality_tier	source_kind	source_origin	source_revision	source_path	source_object_identity	license_spdx	license_url	content_blake3	expected_outcome	expected_detail	review_state	reviewer	reviewed_at	annotation_revision	justification
adafruit-3923-mini-oval-speaker-step	sources/adafruit-3923-mini-oval-speaker-step.step	step	clean-parametric-export	git	https://github.com/adafruit/Adafruit_CAD_Parts	ab3dfc47c32468ba87e7652556cab25efd906eb0	3923 Mini Oval Speaker/3923 Mini Oval Speaker.step	c5a4c79a35a363c05201fd2f66117eb8172716fe	MIT	https://github.com/adafruit/Adafruit_CAD_Parts/blob/ab3dfc47c32468ba87e7652556cab25efd906eb0/LICENSE	994d2c7529eef7d77dc71c46a25d9836c6348b86414dfbbec7a1d14cbc47976a	refuse	step-root-missing	proposed			0	Initial strict-faceted STEP observation proposal; human receipt review pending.
adafruit-3923-mini-oval-speaker-stl	sources/adafruit-3923-mini-oval-speaker-stl.stl	stl	known-broken	git	https://github.com/adafruit/Adafruit_CAD_Parts	ab3dfc47c32468ba87e7652556cab25efd906eb0	3923 Mini Oval Speaker/3923 Mini Oval Speaker.stl	c7417b5b2c48d97bbf8284aaac54c20139ecb363	MIT	https://github.com/adafruit/Adafruit_CAD_Parts/blob/ab3dfc47c32468ba87e7652556cab25efd906eb0/LICENSE	a740379c4e26a7d5a951b328d34ad69534e2c9699e679f00afa23bc7765d1e62	refuse	promotion-residual-refused	proposed			0	Observed residual topology refusal proposal; human receipt review pending.
adafruit-4056-usbc-microb-cable-step	sources/adafruit-4056-usbc-microb-cable-step.step	step	clean-parametric-export	git	https://github.com/adafruit/Adafruit_CAD_Parts	ab3dfc47c32468ba87e7652556cab25efd906eb0	4056 USBC-to-microB-cable/4056-USB-C-to-micro-B.step	e43f9405f562837dc84665db859bd411ae470705	MIT	https://github.com/adafruit/Adafruit_CAD_Parts/blob/ab3dfc47c32468ba87e7652556cab25efd906eb0/LICENSE	66f09e0a46d76d0ac9cf96c686f0e9e4a3d3578851e7dfd13a65bf3ae059d9ec	refuse	step-root-missing	proposed			0	Initial strict-faceted STEP observation proposal; human receipt review pending.
adafruit-4056-usbc-microb-cable-stl	sources/adafruit-4056-usbc-microb-cable-stl.stl	stl	known-broken	git	https://github.com/adafruit/Adafruit_CAD_Parts	ab3dfc47c32468ba87e7652556cab25efd906eb0	4056 USBC-to-microB-cable/4056-USB-C-to-micro-B.stl	04365fc5e805c6a643e22cb4e97a0afffc697821	MIT	https://github.com/adafruit/Adafruit_CAD_Parts/blob/ab3dfc47c32468ba87e7652556cab25efd906eb0/LICENSE	336b6823e34695241a1594206d531e88d764307b0d08ec6ac2744a17848957a3	refuse	promotion-residual-refused	proposed			0	Observed residual topology refusal proposal; human receipt review pending.
adafruit-413-large-solenoid-step	sources/adafruit-413-large-solenoid-step.step	step	clean-parametric-export	git	https://github.com/adafruit/Adafruit_CAD_Parts	ab3dfc47c32468ba87e7652556cab25efd906eb0	413 Large Solenoid/413 Large Solenoid.step	57ce955ca0656982874a751c995dfc570b37bfd8	MIT	https://github.com/adafruit/Adafruit_CAD_Parts/blob/ab3dfc47c32468ba87e7652556cab25efd906eb0/LICENSE	1259e985e8f74739d7b242e1b3cc02b796055199a1aef9261b6eb9e331e38ae6	refuse	step-root-missing	proposed			0	Initial strict-faceted STEP observation proposal; human receipt review pending.
adafruit-413-large-solenoid-stl	sources/adafruit-413-large-solenoid-stl.stl	stl	known-broken	git	https://github.com/adafruit/Adafruit_CAD_Parts	ab3dfc47c32468ba87e7652556cab25efd906eb0	413 Large Solenoid/413 Large Solenoid.stl	18d15347f10ef2f912c14408efe775cb380d8204	MIT	https://github.com/adafruit/Adafruit_CAD_Parts/blob/ab3dfc47c32468ba87e7652556cab25efd906eb0/LICENSE	4157de5670e1bdc23219abb5fc9743167a2b573c886bb6f4736f3362847f9a54	refuse	promotion-residual-refused	proposed			0	Observed residual topology refusal proposal; human receipt review pending.
adafruit-5128-macropad-bottom-step	sources/adafruit-5128-macropad-bottom-step.step	step	clean-parametric-export	git	https://github.com/adafruit/Adafruit_CAD_Parts	ab3dfc47c32468ba87e7652556cab25efd906eb0	5128 MacroPad RP2040 Kit/5128 MacroPad RP2040-bottom-plate.step	e235286429efca235ea72dc40553d19b764754ac	MIT	https://github.com/adafruit/Adafruit_CAD_Parts/blob/ab3dfc47c32468ba87e7652556cab25efd906eb0/LICENSE	576d83c896652ef0e34acc441899e9fd093942fb1af6d3c383ca3a6256bfb954	refuse	step-root-missing	proposed			0	Initial strict-faceted STEP observation proposal; human receipt review pending.
adafruit-5128-macropad-bottom-stl	sources/adafruit-5128-macropad-bottom-stl.stl	stl	tessellation-heavy-export	git	https://github.com/adafruit/Adafruit_CAD_Parts	ab3dfc47c32468ba87e7652556cab25efd906eb0	5128 MacroPad RP2040 Kit/5128 MacroPad RP2040-bottom-plate.stl	22a54360ca8424792e6a7249c7b6c5aad8709fcd	MIT	https://github.com/adafruit/Adafruit_CAD_Parts/blob/ab3dfc47c32468ba87e7652556cab25efd906eb0/LICENSE	58cd921436cbbd5ec93dd5dbef7a3420cdd33da3dc1634ab20d6bbd063bf7bea	clean		proposed			0	Initial mesh observation proposal; human receipt review pending.
adafruit-5128-macropad-keyplate-step	sources/adafruit-5128-macropad-keyplate-step.step	step	clean-parametric-export	git	https://github.com/adafruit/Adafruit_CAD_Parts	ab3dfc47c32468ba87e7652556cab25efd906eb0	5128 MacroPad RP2040 Kit/5128 MacroPad RP2040-Keyplate.step	b396e9e6f47c68bdbde95a0ea78c08988c10ad6b	MIT	https://github.com/adafruit/Adafruit_CAD_Parts/blob/ab3dfc47c32468ba87e7652556cab25efd906eb0/LICENSE	e18090025b1b5c9aca2d01c1d458a57ff17369307c93b95252cfd2966db25dd6	refuse	step-root-missing	proposed			0	Initial strict-faceted STEP observation proposal; human receipt review pending.
adafruit-5128-macropad-keyplate-stl	sources/adafruit-5128-macropad-keyplate-stl.stl	stl	tessellation-heavy-export	git	https://github.com/adafruit/Adafruit_CAD_Parts	ab3dfc47c32468ba87e7652556cab25efd906eb0	5128 MacroPad RP2040 Kit/5128 MacroPad RP2040-Keyplate.stl	52a4bb16940d1194e8d0fdeaf71607f08af9be37	MIT	https://github.com/adafruit/Adafruit_CAD_Parts/blob/ab3dfc47c32468ba87e7652556cab25efd906eb0/LICENSE	50cb05784119cf0b6e4b1e7fa44928337c08e534519a2cbd295faa9bc2cd297b	clean		proposed			0	Initial mesh observation proposal; human receipt review pending.
smithsonian-usnm174698-cuneiform3-right-ply	sources/smithsonian-usnm174698-cuneiform3-right.ply	ply	scanned-or-repaired-mesh	http-snapshot	https://3d-api.si.edu	3d-package:c9105426-6818-4c25-b04c-135e79203b20@2020-04-16	content/document/3d_package:c9105426-6818-4c25-b04c-135e79203b20/resources/USNM174698_cuneiform3_right_-300.ply	30ecab43080af0900a339faa7ae0196e6132966b515334e37f121df39b544286	CC0-1.0	https://3d.si.edu/object/3d/gorilla-gorilla-gorilla-cuneiform3-right%3Ac9105426-6818-4c25-b04c-135e79203b20	e267845033d247a4ad5e85ca19ab1434ad68c7b081f0198253c82311840961c3	refuse	promotion-residual-refused	proposed			0	Official Smithsonian public-domain specimen digitization mesh; initial import observation proposal pending human receipt review.
